 INFO  Accepting connections at http://localhost:3000
 HTTP  2/26/2026 1:11:41 AM ::1 GET /restaurantapp.html
 HTTP  2/26/2026 1:11:41 AM ::1 Returned 301 in 391 ms
 HTTP  2/26/2026 1:11:42 AM ::1 GET /restaurantapp
 HTTP  2/26/2026 1:11:42 AM ::1 Returned 200 in 18 ms
 HTTP  2/26/2026 1:11:42 AM ::1 GET /assets/css/pastel-theme.css
 HTTP  2/26/2026 1:11:42 AM ::1 Returned 200 in 6 ms
 HTTP  2/26/2026 1:11:42 AM ::1 GET /assets/js/directory_data.js
 HTTP  2/26/2026 1:11:42 AM ::1 GET /assets/js/theme.js
 HTTP  2/26/2026 1:11:42 AM ::1 GET /assets/js/supabase_logic.js
 HTTP  2/26/2026 1:11:42 AM ::1 GET /assets/js/directory_logic.js
 HTTP  2/26/2026 1:11:42 AM ::1 GET /instalarapp.js
 HTTP  2/26/2026 1:11:42 AM ::1 Returned 200 in 12 ms
 HTTP  2/26/2026 1:11:42 AM ::1 Returned 200 in 12 ms
 HTTP  2/26/2026 1:11:42 AM ::1 Returned 200 in 12 ms
 HTTP  2/26/2026 1:11:42 AM ::1 Returned 200 in 12 ms
 HTTP  2/26/2026 1:11:42 AM ::1 Returned 200 in 12 ms
 HTTP  2/26/2026 1:11:43 AM ::1 GET /sw.js
 HTTP  2/26/2026 1:11:43 AM ::1 Returned 200 in 7 ms
 HTTP  2/26/2026 1:11:44 AM ::1 GET /directorymap.html
 HTTP  2/26/2026 1:11:44 AM ::1 Returned 301 in 1 ms
 HTTP  2/26/2026 1:11:44 AM ::1 GET /directorymap
 HTTP  2/26/2026 1:11:44 AM ::1 Returned 200 in 3 ms
 HTTP  2/26/2026 1:11:44 AM ::1 GET /assets/css/pastel-theme.css
 HTTP  2/26/2026 1:11:44 AM ::1 Returned 304 in 1 ms
 HTTP  2/26/2026 1:11:44 AM ::1 GET /assets/js/directory_data.js
 HTTP  2/26/2026 1:11:44 AM ::1 Returned 304 in 1 ms
 HTTP  2/26/2026 1:11:44 AM ::1 GET /assets/js/theme.js
 HTTP  2/26/2026 1:11:44 AM ::1 GET /assets/js/supabase_logic.js
 HTTP  2/26/2026 1:11:44 AM ::1 Returned 304 in 1 ms
 HTTP  2/26/2026 1:11:44 AM ::1 Returned 304 in 0 ms
 HTTP  2/26/2026 1:11:44 AM ::1 GET /login.html
 HTTP  2/26/2026 1:11:44 AM ::1 Returned 301 in 0 ms
 HTTP  2/26/2026 1:11:44 AM ::1 GET /login
